,is_default,pokemon_name,pokemon_url,id_x,name,is_baby,is_legendary,is_mythical,forms_switchable,has_gender_differences,gen_x,gen_url,BST,base_stat,stat_name,id_y,gen_y
0,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,45.0,hp,1.0,generation-i
1,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,49.0,attack,1.0,generation-i
2,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,49.0,defense,1.0,generation-i
3,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,65.0,special-attack,1.0,generation-i
4,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,65.0,special-defense,1.0,generation-i
5,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,45.0,speed,1.0,generation-i
6,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,39.0,hp,4.0,generation-i
7,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,52.0,attack,4.0,generation-i
8,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,43.0,defense,4.0,generation-i
9,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,60.0,special-attack,4.0,generation-i
10,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,50.0,special-defense,4.0,generation-i
11,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,65.0,speed,4.0,generation-i
12,True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,44.0,hp,7.0,generation-i
